System call,any
syscall,0
exit,1
fork,2
read,3
write,4
open,5
close,6
wait4,7
link,9
unlink,10
chdir,12
fchdir,13
mknod,14
chmod,15
chown,16
getfsstat,18
getpid,20
setuid,23
getuid,24
geteuid,25
ptrace,26
recvmsg,27
sendmsg,28
recvfrom,29
accept,30
getpeername,31
getsockname,32
access,33
chflags,34
fchflags,35
sync,36
kill,37
getppid,39
dup,41
pipe,42
getegid,43
profil,44
ktrace,45
sigaction,46
getgid,47
sigprocmask,48
getlogin,49
setlogin,50
acct,51
sigpending,52
sigaltstack,53
ioctl,54
reboot,55
revoke,56
symlink,57
readlink,58
execve,59
umask,60
chroot,61
msync,65
vfork,66
sbrk,69
sstk,70
munmap,73
mprotect,74
madvise,75
mincore,78
getgroups,79
setgroups,80
getpgrp,81
setpgid,82
setitimer,83
getitimer,86
getdtablesize,89
dup2,90
fcntl,92
select,93
fsync,95
setpriority,96
socket,97
connect,98
getpriority,100
pipe2,101
getrlimit,102
setrlimit,105
getrusage,106
gettimeofday,116
settimeofday,117
mmap,197
